fecha,hora,operador,tipo_de_avion,ruta,pasajeros_a_bordo,personal_a_bordo,total_a_bordo,pasajeros_fallecidos,personal_fallecido,ground,total_fallecidos,año,dia,mes,summary
1919-10-30,,US Aerial Mail Service,De Havilland DH.4,"Long Valley, New Jersey",0,1,1,0,1,0,1,1919,30,10,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
1919-12-11,,Aircraft Travel Transport,de Havilland DH-4,"Catherham, Surrey, UK",1,1,1,1,1,0,1,1919,11,12,Crashed in a field while attemptting to land.
1920-3-10,,US Aerial Mail Service,De Havilland DH-4,"New Paris, Indiana",0,1,1,0,1,0,1,1920,10,3,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
1920-3-30,,US Aerial Mail Service,De Havilland DH-4,"Newark, New Jersey",0,1,1,0,1,0,1,1920,30,3,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
1920-4-10,,US Aerial Mail Service,Curtiss R-4LM,"Newark, New Jersey",1,1,2,0,1,0,1,1920,10,4,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
1920-4-11,,US Aerial Mail Service,Curtiss JN-4H,"Heller Field, New Jersey",1,1,2,0,1,0,1,1920,11,4,The aircraft crashed while on approach for unknown reasons.
1920-5-12,,US Aerial Mail Service,De Havilland DH-4,"Oskaloosa, Iowa",1,1,2,1,0,0,1,1920,12,5,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
1920-6-06,,US Aerial Mail Service,De Havilland DH-4,"Cleveland, Ohio",0,1,1,0,1,0,1,1920,06,6,The aircraft suffered engine failure and crashed shortly after taking off.
1920-7-20,,Compañia Colombiana de Navegación Aérea,Farman F-40,"Cartagena, Columbia",1,1,1,1,1,0,1,1920,20,7,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
1920-8-16,,By Air,Armstrong-Whitworth F-K-8,"Bedford, England",0,1,1,0,1,0,1,1920,16,8,The plane crashed during a cargo flight under unknown circumstances.
1920-8-16,,US Aerial Mail Service,De Havilland DH-4,"College Park, Maryland",0,1,1,0,1,0,1,1920,16,8,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
1920-9-01,,US Aerial Mail Service,Junkers JL-6,"Morristown, New Jersey",0,2,2,0,2,0,2,1920,01,9,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
1920-9-15,,US Aerial Mail Service,Junkers F-13,"Pemberville, Ohio",,,2,,,0,2,1920,15,9,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
1920-9-27,,US Aerial Mail Service,De Havilland DH-4,"Hillersburg, Pennsylvania",0,1,1,0,1,0,1,1920,27,9,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
1920-10-02,,Latecoere Airlines,Salmson 2-A-2,"Off Port Vendres, France",1,1,2,1,1,0,2,1920,02,10,Crashed into the Mediterranean while on a mail flight.
1920-10-05,,Latecoere Airlines,Breguet 14,"Valencia, Spain",1,1,2,1,1,0,2,1920,05,10,While on a mail flight the plane crashed while attempting to land.
1920-10-15,,US Aerial Mail Service,De Havilland DH-4,"Batavia, Illinois",0,1,1,0,1,0,1,1920,15,10,While attempting to land in fog the aircraft hit an obstruction and crashed.
1920-11-07,,US Aerial Mail Service,De Havilland DH-4,"Tie Siding, Wyoming",0,1,1,0,1,0,1,1920,07,11,The aircraft crashed into a mountain in poor weather condtions.
1920-12-14,12:15:00,Handley Page Transport,Handley Page HP-16,"London, England",6,2,8,2,2,0,4,1920,14,12,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
1920-12-24,,Aeropostale,Breguet 14,"Barcelona, Spain",0,1,1,0,1,0,1,1920,24,12,The aircraft stalled and crashed when an engine failed.
1921-2-03,,US Aerial Mail Service,De Havilland DH-4,"Mendotta, Minnisota",0,1,1,0,1,0,1,1921,03,2,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
1921-2-09,,US Aerial Mail Service,Junkers F-13,"La Crosse, Wisconsin",0,3,3,0,3,0,3,1921,09,2,Crashed for unknown reasons. Both pilots and the mechanic were killed.
1921-2-15,,Aeropostale,Breguet 14,Off Gibraltar,0,2,2,0,2,0,2,1921,15,2,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
1921-2-22,,US Aerial Mail Service,De Havilland DH-4,"Elko, Nevada",0,1,1,0,1,0,1,1921,22,2,"Shortly after taking off, the aircraft stalled and crashed ."
1921-4-06,,Military - Royal Australian Air Force,Avro 504,"Point Cook, Australia",0,0,2,0,0,0,2,1921,06,4,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
1921-4-21,,US Aerial Mail Service,De Havilland DH-4,"Mitchel Field, NY",0,1,1,0,1,0,1,1921,21,4,After taking off the aircraft stalled and crashed.
1921-4-29,,US Aerial Mail Service,De Havilland DH-4,"Cleveland, Ohio",0,1,1,0,1,0,1,1921,29,4,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
1921-5-17,,US Aerial Mail Service,"De Havilland DH-4De Havilland DH-4","Rock Springs, Wyoming",0,1,1,0,1,0,1,1921,17,5,Crashed while attempting to land.
1921-8-14,,Aeropostale,Breguet 14,"Toulouse, France",,,2,,,0,2,1921,14,8,
1921-8-24,17:40:00,Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),"River Humber, England",0,49,49,0,43,1,43,1921,24,8,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude."
1921-9-06,,Franco-Roumaine,Potez IX,"Paris, France",4,1,5,4,1,0,5,1921,06,9,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
1921-12-05,,West Australian Airways,Bristol 28 Tourer,"Near Murchinson River, Australia",0,2,2,0,2,0,2,1921,05,12,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
1922-1-14,,Handley Page Transport,Handley Page O/10,"Paris, France",4,1,5,4,1,5,5,1922,14,1,Crashed at Le Bourget field.
1922-2-21,,Military - U.S. Army Air Service,Dirigible Roma (airship),"Near Norfolk, Virginia",,,45,,,0,34,1922,21,2,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
1922-3-22,11:40:00,Aero Limited,Aeromarine Model 85 (flying boat),North Atlantic Ocean,5,1,6,5,0,0,5,1922,22,3,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
1922-4-07,13:15:00,Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,"Grandvilliers, France",5,2,7,5,2,0,7,1922,07,4,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
1922-4-08,,,,"Pao Ting Fou, China",0,17,17,0,17,0,17,1922,08,4,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
1922-6-03,,Cie des Messageries Aeriennes,Bleriot Spad 27,"Off Folkestone, Kent, England",2,1,3,2,1,0,3,1922,03,6,Went down into the English Channel while en route.
1922-7-04,,,LVG C VI,"Fuhlsbuttel, Germany",2,1,3,1,1,0,2,1922,04,7,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
1922-7-16,16:45:00,Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,"Near Saverne, Lorraine, France",4,1,5,4,1,0,5,1922,16,7,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
1922-7-26,,Grands Express Aeriens,Breguet 14,"Cadix, Spain",2,1,3,2,1,0,3,1922,26,7,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
1922-9-07,,US Aerial Mail Service,De Havilland DH-4,"Indianapolis, Indiana",0,1,1,0,1,0,1,1922,07,9,The plane stalled shortly after takeoff and crashed.
1922-10-02,,de Havilland Air Service,de Havilland DH-9,"Venice, Italy",3,1,4,3,1,0,4,1922,02,10,Shortly after taking off the plane crashed into the sea and sank.
1922-10-25,,Grands Express Aeriens,Breguet 14,"Larache, Morocco",1,1,2,1,1,0,2,1922,25,10,Crashed under unknown circumstances.
1922-12-03,,Grands Express Aeriens,Breguet 14,"Fez, Morocco",0,1,1,0,1,0,1,1922,03,12,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
1923-1-10,,Amee de l'Air,Lioré-et-Olivier H-13,"Ajaccio, France",2,2,4,1,2,0,3,1923,10,1,The plane crashed mid-air due to a structural failure of the tail.
1923-1-17,,Grands Express Aeriens,Breguet 14,"Barcelona, Spain",0,1,1,0,1,0,1,1923,17,1,Crashed into a mountain during a snowstorm.
1923-1-18,,US Aerial Mail Service,De Havilland DH-4,"Cheyenne, Wyoming",0,1,1,0,1,0,1,1923,18,1,Crashed during a mail flight.
1923-2-26,,US Aerial Mail Service,De Havilland DH-4,"Meadville, Pennsylvania",0,1,1,0,1,0,1,1923,26,2,The pilot lost control of the aircraft  while on approach in poor weather conditions.
1923-5-14,13:42:00,Grands Express Aeriens (Air Union),Farman F-60 Goliath,"Near Amiens, Picrdie, France",4,2,6,4,2,0,6,1923,14,5,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
1923-8-27,17:30:00,Air Union,Farman F.60 Goliath,"East Mallling, United Kingdom",9,2,11,1,0,0,1,1923,27,8,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
1923-8-27,,Campagnie France Roumaine,Blériot Spad 46,"Bucharest, Romania",1,1,2,1,1,0,2,1923,27,8,Crashed while on approach to Bucharesst.
1923-9-07,,US Aerial Mail Service,De Havilland DH-4,"Colton, Ohio",0,1,1,0,1,0,1,1923,07,9,Crashed during an emergency landing attempt.
1923-9-14,18:00:00,Daimler Airways,de Havilland DH-34,"Near Ivinghoe, Buckinghamshire, England",3,2,5,3,2,0,5,1923,14,9,Crashed while attempting a forced landing after encountering heavy rain.
1923-11-18,,CCCP,Junkers F-13,Russia,2,3,5,1,2,0,3,1923,18,11,Crashed during a training flight.
1923-12-06,,US Aerial Mail Service,De Havilland DH-4,"Castalia, Ohio",0,1,1,0,1,0,1,1923,06,12,Crashed under unknown circumstances.
1923-12-23,02:30:00,Military - French Navy,Zeppelin Dixmunde (airship),Over the Mediterranean Sea,,,52,,,0,52,1923,23,12,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
1923-12-24,,US Aerial Mail Service,De Havilland DH-4,"Egbert, WY",0,1,1,0,1,0,1,1923,24,12,Crashed into a montain in poor weather conditions.
1924-3-07,,US Aerial Mail Service,De Havilland DH-4,"Grampian, Pennsylvania",0,1,1,0,1,0,1,1924,07,3,Crashed during a snowstorm.
1924-4-24,,KLM Royal Dutch Airlines,Fokker F.III,Over the English Channel,2,1,3,2,1,0,3,1924,24,4,The aircraft disappeared over the North Sea. The plane and passengers were never found.
1924-6-08,,SCADTA,Junkers F-13,"Barranquilla, Colombia",3,2,5,3,2,0,5,1924,08,6,Stalled after taking off and crashed into houses..
1924-8-01,,US Aerial Mail Service,De Havilland DH-4,United States,0,1,1,0,1,0,1,1924,01,8,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
1924-11-06,,Grands Express Aeriens,Breguet 14,"Cabrerolles, France",0,1,1,0,1,0,1,1924,06,11,"While en route the pilot encountered thunderstorms, lost control and crashed."
1924-12-21,,US Aerial Mail Service,De Havilland DH-4,"Goshen, Indiana",0,1,1,0,1,0,1,1924,21,12,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."
1924-12-24,12:00:00,Imperial Airways,de Havilland DH-34B,"Purley, England",7,1,8,7,1,0,8,1924,24,12,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
1925-3-22,,Zakavia,Junkers F-13,"Near Tiflis, Georgia, USSR",3,2,5,3,2,0,5,1925,22,3,Shortly after take off the plane went out of control and crashed in flames.
1925-4-25,,Grands Express Aeriens,Breguet 14,"Alicante, Spain",1,2,3,1,2,0,3,1925,25,4,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
1925-6-25,,KLM Royal Dutch Airlines,Fokker (KLM)  F.III,"Landrécies, France",3,1,4,3,1,0,4,1925,25,6,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
1925-6-26,,Grands Express Aeriens,Lioré-et-Olivier LeO H-13,"Alicante, Spain",0,2,2,0,2,0,2,1925,26,6,While attempting to land the seaplane hit a lightning mast and crashed.
1925-7-20,,Lignes Aeriennes Latecoere,Breguet 14,"Rosas, Spain",0,1,1,0,1,0,1,1925,20,7,Crashed in unknown circumstance.
1925-7-24,,CIDNA,Potez IX,"Budapest, Hungary",0,1,1,0,1,0,1,1925,24,7,Crashed while attempting to land 10 km from the airport
1925-9-03,05:30:00,Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),"Caldwell, Ohio",0,43,43,0,14,0,14,1925,03,9,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart."
1925-9-07,,CIDNA,Spad 33,"Toul, France",,,,,,,,1925,07,9,
1925-10-01,,US Aerial Mail Service,De Havilland DH-4,"Mt. Nittany, Ohio",0,1,1,0,1,0,1,1925,01,10,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
1925-11-14,,Lignes Aeriennes Latecoere,Breguet 14,"Nouadhibou, Mauritania",0,1,1,0,1,0,1,1925,14,11,The pilot suffered sunstroke lost control of the plane and crashed.
1925-11-14,,Air Union,Farman F-60 Goliath,"Off Boulogne-sur-Mer, France",,,2,,,0,2,1925,14,11,
1926-2-12,,US Aerial Mail Service,Curtiss Carrier Pigeon,"Montpelier, Ohio",0,1,1,0,1,0,1,1926,12,2,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
1926-3-08,,Deutche Lufthansa,Junkers F-13,"Staaken, Germany",0,1,1,0,1,0,1,1926,08,3,While in a training filight the aircraft stalled and crashed while attempting to land.
1926-5-31,,Air Union,Breguet 14,English Channel,0,1,1,0,1,0,1,1926,31,5,The mail plane crashed into the English Channel and was never found.
1926-7-03,,Compagnie Internationale de Navigation Aérienne,Caudron C-61,"Rossaugpt, Czechoslovakia",4,2,6,4,2,0,6,1926,03,7,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
1926-7-09,09:30:00,KLM Royal Dutch Airlines,Fokker F7,"Wolvertem, Belgium",1,1,2,1,1,0,2,1926,09,7,Crashed into the ground while descending in poor weather.
1926-7-24,,Deutsche Lufthansa,Junkers F-13,"Juist, Germany",4,1,5,4,1,0,5,1926,24,7,Crashed under weather related.circumstances.
1926-8-18,,Air Union,Bleriot 155,"Hurst, Kent, England",13,2,15,2,1,0,3,1926,18,8,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
1926-9-26,,,Sikorsky S-25,"New York, New York",4,1,5,2,0,0,2,1926,26,9,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
1926-10-02,15:27:00,Air Union,Bleriot 155,"Leigh, Kent, Unied Kingdom",5,2,7,5,2,0,7,1926,02,10,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
1926-10-08,,Deutsche Lufthansa,Fokker FG III,"Bueren, Germany",3,1,4,3,1,0,4,1926,08,10,Weather related.
1926-10-21,13:15:00,Imperial Airways,Handley Page W-10,English Channel,10,2,12,0,0,0,0,1926,21,10,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
1926-11-11,08:00:00,Grands Express Aeriens,Breguet 14,"Cape Bojador, Morocco",3,0,3,3,0,0,3,1926,11,11,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
1926-12-16,,Pacific Air Transport,Ryan M-1,"Medford, Oregon",0,1,1,0,1,0,1,1926,16,12,The postal plane crashed into a mountain slope in foggy conditions.
1927-1-12,,Fokker,Fokker F-VII,"Estaires, France",0,2,0,0,2,0,0,1927,12,1,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.
1927-3-20,,Grands Express Aeriens,Breguet 14,"Rabat, Morocco",0,1,1,0,1,0,1,1927,20,3,Unknown.
1927-3-24,,Qantas,de Havilland DH-9C,"Tambo, Qld, Australia",2,1,3,2,1,0,3,1927,24,3,"While attempting to land, the engine failed, the aircraft stalled and crashed."
1927-4-15,,Varney Air Lines,"SwallowSwallow","King Hill, Idaho",0,1,1,0,1,0,1,1927,15,4,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.
1927-4-22,,Deutsche Lufthansa,Fokker FG III,"Floh, Germany",1,1,2,1,1,0,2,1927,22,4,Crashed following engine failure.
1927-4-22,,US Aerial Mail Service,Douglas M-4,"Goshen, Indiana",0,1,1,0,1,0,1,1927,22,4,Crashed into a field during a snow storm.
1927-5-02,,Air Union,SPCA Meteore 63,"Algiers, Algeria",0,3,3,0,1,0,1,1927,02,5,The three engine seaplane stalled and crashed into the sea shortly after taking off.
1927-7-27,,Deutsche Lufthansa,Junkers F-13,"Amoneburg, Germany",3,2,5,3,2,0,5,1927,27,7,Crashed after experiencing engine failure and attempting to make a forced landing.
1927-8-22,08:30:00,KLM Royal Dutch Airlines,Fokker F-VIII,"Sevenoaks, England",9,2,11,0,1,0,1,1927,22,8,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
1927-9-03,,Colonial Air Transport,Fokker Universal,"Willington, Connecticut",0,1,1,0,1,0,1,1927,03,9,The postal plane crashed for unknown reasons.
1927-9-17,,Reynolds Airways,Fokker F-VII,"Hadley, New Jersey",11,1,12,6,1,0,7,1927,17,9,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
1927-9-17,04:05:00,Private,Fokker F7,Atlantic Ocean,1,2,3,1,2,0,3,1927,17,9,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight."
1927-9-23,10:00:00,Deutsche Lufthansa,Dornier Merkur,"Schleiz, Germany",4,2,6,4,2,0,6,1927,23,9,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.
1927-10-06,,Lignes Aeriennes Latecoere,Breguet 14,"Thies, Mauritania",0,2,2,0,2,0,2,1927,06,10,The plane crashed while attempting to land at Dakar.
1927-10-30,,Colonial Air Transport,Fairchild FC-2,"New Brunswick, New Jersey",3,1,4,3,1,0,4,1927,30,10,Went into a tailspin and crashed into a corn field about 10 km from the airport.
1927-11-08,,CIDNA,Farman F-121 Jabiru,"Strasburg, France",0,1,1,0,1,0,1,1927,08,11,The mail plane crashed shortly after taking off.
1927-11-16,,Aero O-Y,Junkers F-13,Over the Gulf of Finland,4,2,6,4,2,0,6,1927,16,11,Crashed in the gulf of Finland and never found.
1927-11-29,,National Air Transport,Douglas M-4,"Corunna, Indiana",0,1,1,0,1,0,1,1927,29,11,The postal plane crashed at night in poor weather.
1927-12-28,,Aeropostale,Breguet 14,"Almeria, Spain",0,1,1,0,1,0,1,1927,28,12,A fire erupted aboard the mail plane while en route and crashed.
